food,protein
리얼프리미엄 바닐라 R,6.5
카페모카 tall (iced),6.52
흑미밥,6.53
어묵잡채,6.55
팥밥,6.56
버섯조림,6.57
카라멜마끼아또ICE,6.58
더치 오션,6.6
미역튀각,6.62
모닝빵,6.65
그린티 롤,6.67
쿠키프라페,6.68
시래기된장국,6.7
채소죽,6.75
된장찌개,6.76
모듬찰떡,6.78
군고구마 라떼 tall (iced),6.79
도토리묵말이,6.8
치즈스틱,6.81
감자튀김,6.82
파전,6.83
캬라멜 마끼아또 grande (iced),6.84
냉이된장국,6.85
기장밥,6.87
아이스 바닐라라떼 마끼아또L,6.9
부추전,6.95
자바 칩 탐앤치노 tall,6.99
맵고달고 (씬),7.0
카스텔라,7.02
시나몬 초콜릿  탐앤치노 grande,7.05
골뱅이무침,7.08
아포가토,7.1
채소고로케,7.13
현미밥,7.14
딸기요거트스무디ICE,7.16
밀크티 로열 grande (hot),7.17
핫초코,7.2
치즈케이크,7.23
전복죽,7.27
카푸치노HOT,7.29
화이트 모카 R,7.3
무밥,7.33
쇠고기배춧국,7.34
채소샌드위치,7.35
롤케이크,7.36
모카 탐앤치노 venti,7.38
플레인 요거트 쉐이크,7.4
쇠고기미역국,7.42
머핀,7.45
깻잎나물볶음,7.5
시나몬 초콜릿 tall (iced),7.57
김치전,7.58
채소 초밥,7.59
고추튀김,7.6
소탕,7.66
콩나물된장찌개,7.69
카페모카,7.7
쑥절편,7.72
녹두시루떡,7.74
그린 티 탐앤치노 venti,7.76
밀크티 로열 grande (iced),7.77
초콜릿 쿠키 젤라또 프라페노,7.8
캬라멜 마끼아또 venti (iced),7.84
그린민트 초콜릿 탐앤치노 grande,7.85
플레인 요거트 스무디 tall,7.87
밀크레이프,7.88
딸기&피스타치오 메리 스노우 빙수,7.9
녹두빈대떡,7.94
트러플 리조또,8.0
그린민트 초콜릿 tall (iced),8.01
메리마카롱 딸기,8.1
호떡,8.11
소고기메추리알장조림,8.14
플레인 요거트 스무디,8.2
핫 초콜릿 tall (iced),8.22
오징어찌개,8.24
해물파전,8.25
우거지곰탕,8.29
맑은감자국,8.3
건새우볶음,8.31
카페라떼ICE,8.33
돼지고기메추리알장조림,8.34
해물된장국,8.38
쿠키&크림 번버거,8.4
볶음우동,8.41
김치전골,8.43
돼지고기김치찌개,8.49
블루스노우모카 R,8.5
그린민트 카페모카 grande (iced),8.53
시나몬 초콜릿 탐앤치노 venti,8.55
캬라멜 마끼아또 grande (hot),8.58
초코 라떼 R,8.6
쇠고기죽,8.62
조개된장찌개,8.63
딸퐁 요거트 프로스트 L,8.7
식빵토스트,8.78
딸기 요거트 스무디,8.8
플레인요거트스무디ICE,8.81
새우링 8ea,8.84
밀크티 로열 venti (hot),8.85
시나몬 카페모카 grande (iced),8.86
참치 두부 함박스테이크,8.89
망고빙수,8.9
플레인 퐁크러쉬,8.93
딸기 퐁크러쉬,8.97
멸치주먹밥,9.0
카페라떼HOT,9.03
스트로베리치즈홀릭,9.05
검정콩밥,9.06
자바 칩 탐앤치노 grande,9.08
그린민트 카페모카 tall (hot),9.09
화이트 모카 L,9.1
망고젤빙,9.16
그린라떼 tall (hot),9.2
카페모카 grande (iced),9.21
시나몬 카페모카 tall (hot),9.24
메리마카롱 카라멜,9.3
식빵,9.34
바나나 퐁크러쉬,9.36
티라미수 번버거 + 아메리카노 SET,9.4
잡채,9.41
달걀프라이,9.44
밀크티 로열 venti (iced),9.45
그린민트 초콜릿 탐앤치노 venti,9.47
라면,9.48
민트모카,9.5
쇠고기주먹밥,9.52
그린민트 카페모카 venti (iced),9.55
바닐라 라떼 grande (hot),9.6
샐러드김밥,9.62
동태국,9.66
아이스 민트모카 L,9.7
새우필라프,9.72
군고구마 라떼 tall (hot),9.79
고구마 프로스트 L,9.8
달걀장조림,9.85
자바칩모카 프로스트 L,9.9
